cell_label,X,Y,class,subclass
1104095349102020798-1,6.147900885416356,3.860757229077088,19 MB Glut,187 SCsg Pde5a Glut
1104095349202170703,6.714975637214616,4.419298908767075,20 MB GABA,205 SC-PAG Lef1 Emx2 Gaba
1104095349102350579,6.973743244117802,3.367950367493397,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102500158-1,7.251784010384152,3.730955518865941,31 OPC-Oligo,327 Oligo NN
1104095349102170228-1,6.377782040259443,4.312692808052746,20 MB GABA,211 SC Tnnt1 Gli3 Gaba
1104095349102500167-1,7.264241342363225,3.803709463369534,31 OPC-Oligo,327 Oligo NN
1104095349102330557,7.067134202617886,4.28885378876088,01 IT-ET Glut,019 L2/3 IT PPP Glut
1104095349102510094-2,7.16771652515216,3.5411527134943936,05 OB-IMN GABA,045 OB-STR-CTX Inh IMN
1104095349102350747,7.106831192434143,3.467413446300469,31 OPC-Oligo,327 Oligo NN
1104095349102500152-1,7.266256709277351,3.895597908073492,30 Astro-Epen,319 Astro-TE NN
1104095349102330422,6.9737131182537135,4.35279191308824,30 Astro-Epen,318 Astro-NT NN
1104095349102350119,6.659741471377066,3.3012665017658414,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102020838-1,6.198115772713795,4.0952526916473015,19 MB Glut,187 SCsg Pde5a Glut
1104095349102510163-1,7.223185032312816,3.639994163546989,31 OPC-Oligo,327 Oligo NN
1104095349102020791,6.148677794857251,3.912184621251716,33 Vascular,333 Endo NN
1104095349102190113,6.192478680725188,3.636949020906573,30 Astro-Epen,319 Astro-TE NN
1104095349102180113-2,6.266005392864799,4.206649329890851,19 MB Glut,186 SCop Pou4f2 Neurod2 Glut
1104095349102350785,7.136743806164425,3.4988955782835536,30 Astro-Epen,319 Astro-TE NN
1104095349102190133-1,6.20381227568243,3.6118489859398224,30 Astro-Epen,319 Astro-TE NN
1104095349102500090-1,7.229261883738742,4.065963823982453,07 CTX-MGE GABA,052 Pvalb Gaba
1104095349102180184-2,6.308537106579712,4.255055745755982,19 MB Glut,175 SC Bnc2 Glut
1104095349102350540,6.948240904073904,3.3529940742968,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102350636,7.021770498628824,3.39500558150929,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102190228,6.25080266376718,3.532831679985096,01 IT-ET Glut,021 L4 RSP-ACA Glut
1104095349102190436,6.344225830177304,3.4315141202808777,01 IT-ET Glut,022 L5 ET CTX Glut
1104095349102510080-1,7.152701303460627,3.5180797336723533,30 Astro-Epen,319 Astro-TE NN
1104095349102350389-1,6.835374737310122,3.3131365323523183,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102020819-1,6.182310620008516,4.061050082625159,19 MB Glut,187 SCsg Pde5a Glut
1104095349102350648,7.033519117226023,3.4022767017523496,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102170440-1,6.524997447062276,4.391953046930535,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102350255,6.751860664236648,3.2994069163541084,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102500147-1,7.242678530913839,3.6879916007960736,31 OPC-Oligo,327 Oligo NN
1104095349102500151-2,7.251672943960242,3.718977270422063,31 OPC-Oligo,327 Oligo NN
1104095349102170255-1,6.396514357638902,4.329024866626061,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102030937,6.17658830084981,3.672260129985084,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102341097,7.190192199433916,4.148976039456724,07 CTX-MGE GABA,052 Pvalb Gaba
1104095349102190644,6.448699910689569,3.359934199479589,31 OPC-Oligo,327 Oligo NN
1104095349102190114,6.194771779059966,3.626330381041869,33 Vascular,333 Endo NN
1104095349102190087,6.185434186189922,3.6475179724614257,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102330122-1,6.793592913741041,4.416664013291985,20 MB GABA,198 IC Six3 En2 Gaba
1104095349102350754,7.11624346183326,3.4726043194201788,07 CTX-MGE GABA,053 Sst Gaba
1104095349102170607,6.630182768371439,4.418299881680814,31 OPC-Oligo,327 Oligo NN
1104095349102170186-1,6.352217285604828,4.297821519901619,31 OPC-Oligo,327 Oligo NN
1104095349102020792,6.143698897000055,3.841486827732094,20 MB GABA,207 SCs Dmbx1 Gaba
1104095349102350570,6.962979357428745,3.35750208664354,30 Astro-Epen,319 Astro-TE NN
1104095349102350726,7.092490695550103,3.4480945922584274,02 NP-CT-L6b Glut,029 L6b CTX Glut
1104095349102510151,7.215920831300911,3.616123648405301,31 OPC-Oligo,327 Oligo NN
1104095349102190560,6.407652323940478,3.381869038698898,01 IT-ET Glut,005 L5 IT CTX Glut
1104095349102350293,6.778254802306154,3.3002157794224614,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102170626-1,6.642153139182337,4.420502007547984,20 MB GABA,209 SCs Pax7 Nfia Gaba
1104095349102190174,6.222316273702857,3.570842273610098,33 Vascular,333 Endo NN
1104095349102020789,6.153791834315268,3.971790480231231,20 MB GABA,208 SC Lef1 Otx2 Gaba
1104095349102180127-1,6.277115783760203,4.225747887196549,31 OPC-Oligo,326 OPC NN
1104095349102500065,7.211576214400555,4.114244884644505,01 IT-ET Glut,023 SUB-ProS Glut
1104095349102170209-1,6.3639191968471565,4.308737975969496,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102350782,7.13314068014763,3.4887102492144257,31 OPC-Oligo,327 Oligo NN
1104095349102170419-1,6.513473882306214,4.391193082366144,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102170328-1,6.452051165776145,4.364594109686875,30 Astro-Epen,318 Astro-NT NN
1104095349102341070,7.173831655664014,4.179330856570452,31 OPC-Oligo,327 Oligo NN
1104095349102330403,6.960051885363217,4.365750802225985,31 OPC-Oligo,327 Oligo NN
1104095349102500175-1,7.266030175140122,3.772951486567784,31 OPC-Oligo,327 Oligo NN
1104095349102500172-1,7.272779725817293,3.854985374417901,31 OPC-Oligo,327 Oligo NN
1104095349102190332,6.296565799468406,3.470938684063216,01 IT-ET Glut,021 L4 RSP-ACA Glut
1104095349102350163,6.685942664433901,3.2945873592677906,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102190890,6.578936382475453,3.3088737154215746,33 Vascular,333 Endo NN
1104095349102030945,6.180182056529021,3.653724367593818,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102170491-1,6.563821115726746,4.407556376427657,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
1104095349102330594-1,7.086687410212578,4.280019590514834,33 Vascular,333 Endo NN
1104095349102350532,6.939584715457931,3.3437572155335533,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102020785,6.160386135971126,4.0072000220810615,20 MB GABA,207 SCs Dmbx1 Gaba
1104095349102341121,7.203810922813333,4.132086007403606,02 NP-CT-L6b Glut,033 NP SUB Glut
1104095349102330222-1,6.847258054247087,4.408744106267569,31 OPC-Oligo,327 Oligo NN
1104095349102190192,6.229552021269897,3.554725171490241,30 Astro-Epen,319 Astro-TE NN
1104095349102350217,6.7211880694926815,3.293289886215891,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102350623,7.012673069867363,3.3822562894022967,02 NP-CT-L6b Glut,030 L6 CT CTX Glut
1104095349102030933,6.175657671388705,3.66241241013493,01 IT-ET Glut,020 L2/3 IT RSP Glut
1104095349102190243,6.258120391809985,3.513680472249546,01 IT-ET Glut,021 L4 RSP-ACA Glut
1104095349102170574-1,6.613120498888043,4.41921874503706,33 Vascular,333 Endo NN
1104095349102500078-1,7.222400151474675,4.097142401711298,02 NP-CT-L6b Glut,033 NP SUB Glut
1104095349102020797-1,6.1645357889628585,4.025646287788833,19 MB Glut,175 SC Bnc2 Glut
1104095349102190144,6.207186669521523,3.591566803274537,31 OPC-Oligo,327 Oligo NN
1104095349102170753-1,6.718911835892107,4.427411456508601,19 MB Glut,185 SCig Tfap2b Chrnb3 Glut
